GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed,Planes,0,599,0,42,0,97,0,44,0,23
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed,AffineTransformMatrix3D,0,1294,0,32,0,163,0,57,0,41
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed,Vector3D,0,960,0,78,0,146,0,92,0,53
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed,AbstractPlaneSubset,0,14,0,0,0,4,0,4,0,4
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed,RegionBSPTree3D.RegionNode3D,0,37,0,4,0,11,0,5,0,3
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed,Vector3D.Sum,0,109,0,2,0,23,0,8,0,7
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed,BoundarySourceBoundsBuilder3D,0,43,1,7,0,13,1,5,0,2
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed,Planes.PlaneBuilder,0,219,0,26,0,46,0,21,0,8
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed,SphericalCoordinates,0,262,0,40,0,52,0,39,0,19
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed,ConvexVolume,0,203,0,14,0,46,0,19,0,12
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed,RegionBSPTree3D.BoundaryProjector3D,0,15,0,2,0,4,0,3,0,2
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed,EmbeddingPlane.SubspaceTransform,0,15,0,0,0,6,0,3,0,3
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed,Triangle3D,0,3,0,0,0,1,0,1,0,1
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed,Planes.PlaneRegionExtruder,0,401,0,30,0,73,0,21,0,6
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed,RegionBSPTree3D.RegionSizePropertiesVisitor,0,152,1,15,0,31,1,10,0,3
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed,BoundaryList3D,0,6,0,0,0,3,0,2,0,2
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed,RegionBSPTree3D.PartitionedRegionBuilder3D,0,116,0,4,0,28,0,13,0,11
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed,Bounds3D,0,384,0,52,0,67,0,44,0,18
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed,EmbeddingPlane,0,365,2,14,0,73,2,22,0,16
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed,Bounds3D.Builder,0,192,3,21,0,38,3,15,0,6
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed,Bounds3D.BoundsLinecaster3D,0,98,0,8,0,21,0,14,0,10
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed,RegionBSPTree3D,0,193,0,8,0,46,0,24,0,20
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed,BoundarySource3D,0,61,0,0,0,13,0,10,0,10
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed,VertexListConvexPolygon3D,0,72,0,2,0,17,0,6,0,5
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed,Plane,0,652,1,41,0,104,1,48,0,28
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed,EmbeddedAreaPlaneConvexSubset,0,113,0,2,0,24,0,11,0,10
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed,Vector3D.Unit,0,204,0,10,0,36,0,16,0,11
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed,AbstractEmbeddedRegionPlaneSubset,0,116,0,4,0,33,0,15,0,13
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed,BoundarySourceLinecaster3D,0,70,0,2,0,18,0,7,0,6
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed,SimpleTriangle3D,0,122,0,0,0,20,0,9,0,9
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed,PlaneConvexSubset,0,3,0,0,0,1,0,1,0,1
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed,EmbeddedTreePlaneSubset,0,239,0,12,0,60,0,20,0,14
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed,AbstractConvexPolygon3D,0,702,1,65,0,174,1,45,0,13
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed,RegionBSPTree3D.LinecastVisitor,0,168,0,28,0,46,0,20,0,6
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.internal,Vectors,0,93,0,6,0,19,0,15,0,12
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.internal,Matrices,0,86,0,4,0,9,0,7,0,5
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.internal,AbstractPathConnector.ConnectableElement,0,85,0,16,0,27,0,18,0,10
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.internal,EuclideanUtils,0,164,0,12,0,39,0,8,0,2
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.internal,AbstractPathConnector,0,318,3,59,0,78,3,37,0,9
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.twod.shape,Circle.CircleApproximationBuilder,0,197,0,8,0,39,0,9,0,5
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.twod.shape,Parallelogram.Builder,0,70,0,0,0,22,0,9,0,9
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.twod.shape,Circle,0,96,0,0,0,18,0,12,0,12
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.twod.shape,Parallelogram,0,183,0,6,0,36,0,9,0,6
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed.line,Linecastable3D,0,10,0,0,0,2,0,2,0,2
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed.line,Ray3D,0,102,0,4,0,32,0,17,0,15
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed.line,Lines3D,0,257,1,21,0,45,1,25,0,15
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed.line,LineConvexSubset3D,0,38,0,4,0,8,0,6,0,4
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed.line,Segment3D,0,154,0,8,0,42,0,18,0,14
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed.line,Line3D.SubspaceTransform,0,15,0,0,0,6,0,3,0,3
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed.line,EmbeddedTreeLineSubset3D,0,165,0,8,0,47,0,15,0,11
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed.line,LineSubset3D,0,19,0,0,0,6,0,4,0,4
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed.line,ReverseRay3D,0,98,0,4,0,31,0,16,0,14
Apache Commons Geometry Euclidean,org.apache.commons.geometry.euclidean.threed.line,Line3D,0,403,2,24,0,75,2,40,0,29
