GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Geometry Spherical,org.apache.commons.geometry.spherical.twod,BoundaryList2S,0,6,0,0,0,3,0,2,0,2
Apache Commons Geometry Spherical,org.apache.commons.geometry.spherical.twod,Transform2S,0,167,0,4,0,41,0,25,0,23
Apache Commons Geometry Spherical,org.apache.commons.geometry.spherical.twod,Point2S,0,295,0,42,0,60,0,43,0,22
Apache Commons Geometry Spherical,org.apache.commons.geometry.spherical.twod,InteriorAngleGreatArcConnector,0,58,0,6,0,14,0,7,0,4
Apache Commons Geometry Spherical,org.apache.commons.geometry.spherical.twod,InteriorAngleGreatArcConnector.Maximize,2,9,1,1,0,2,1,2,0,2
Apache Commons Geometry Spherical,org.apache.commons.geometry.spherical.twod,AbstractGreatArcConnector.ConnectableGreatArc,7,244,10,38,2,47,10,30,0,16
Apache Commons Geometry Spherical,org.apache.commons.geometry.spherical.twod,RegionBSPTree2S.RegionNode2S,0,37,0,4,0,11,0,5,0,3
Apache Commons Geometry Spherical,org.apache.commons.geometry.spherical.twod,BoundarySource2S,0,28,0,0,0,8,0,4,0,4
Apache Commons Geometry Spherical,org.apache.commons.geometry.spherical.twod,ConvexArea2S,0,453,2,44,0,111,2,46,0,24
Apache Commons Geometry Spherical,org.apache.commons.geometry.spherical.twod,InteriorAngleGreatArcConnector.Minimize,0,11,0,2,0,2,0,3,0,2
Apache Commons Geometry Spherical,org.apache.commons.geometry.spherical.twod,GreatCircle,0,349,2,24,0,68,2,40,0,29
Apache Commons Geometry Spherical,org.apache.commons.geometry.spherical.twod,RegionBSPTree2S,0,251,0,16,0,62,0,28,0,20
Apache Commons Geometry Spherical,org.apache.commons.geometry.spherical.twod,GreatCircleSubset,0,67,0,2,0,17,0,13,0,12
Apache Commons Geometry Spherical,org.apache.commons.geometry.spherical.twod,AbstractGreatArcConnector,0,116,0,10,0,28,0,12,0,7
Apache Commons Geometry Spherical,org.apache.commons.geometry.spherical.twod,GreatArc,0,180,1,15,0,47,1,18,0,11
Apache Commons Geometry Spherical,org.apache.commons.geometry.spherical.twod,RegionBSPTree2S.BoundaryProjector2S,1,14,1,1,0,4,1,2,0,2
Apache Commons Geometry Spherical,org.apache.commons.geometry.spherical.twod,GreatArcPath,0,241,3,27,0,58,3,31,0,19
Apache Commons Geometry Spherical,org.apache.commons.geometry.spherical.twod,EmbeddedTreeGreatCircleSubset,0,175,0,8,0,47,0,16,0,12
Apache Commons Geometry Spherical,org.apache.commons.geometry.spherical.twod,GreatCircles,0,177,0,12,0,30,0,12,0,6
Apache Commons Geometry Spherical,org.apache.commons.geometry.spherical.twod,GreatArcPath.Builder,4,470,11,69,1,114,10,52,0,22
Apache Commons Geometry Spherical,org.apache.commons.geometry.spherical.oned,Transform1S,0,196,0,12,0,45,0,24,0,18
Apache Commons Geometry Spherical,org.apache.commons.geometry.spherical.oned,AngularInterval,0,427,2,56,0,95,2,55,0,28
Apache Commons Geometry Spherical,org.apache.commons.geometry.spherical.oned,RegionBSPTree1S,0,561,1,91,0,144,1,64,0,19
Apache Commons Geometry Spherical,org.apache.commons.geometry.spherical.oned,AngularInterval.Convex,0,229,0,28,0,59,0,22,0,8
Apache Commons Geometry Spherical,org.apache.commons.geometry.spherical.oned,RegionBSPTree1S.BoundaryProjector1S,0,16,0,2,0,4,0,4,0,3
Apache Commons Geometry Spherical,org.apache.commons.geometry.spherical.oned,CutAngles,0,33,0,0,0,6,0,6,0,6
Apache Commons Geometry Spherical,org.apache.commons.geometry.spherical.oned,Point1S,0,288,1,35,0,72,1,44,0,27
Apache Commons Geometry Spherical,org.apache.commons.geometry.spherical.oned,RegionBSPTree1S.RegionNode1S,0,6,0,0,0,3,0,2,0,2
Apache Commons Geometry Spherical,org.apache.commons.geometry.spherical.oned,CutAngle.CutAngleConvexSubset,0,102,0,6,0,31,0,18,0,15
Apache Commons Geometry Spherical,org.apache.commons.geometry.spherical.oned,CutAngle,0,247,0,36,0,56,0,35,0,17
Apache Commons Geometry Spherical,org.apache.commons.geometry.spherical.oned,RegionBSPTree1S.BoundaryPair,0,24,0,2,0,7,0,5,0,4
Apache Commons Geometry Spherical,org.apache.commons.geometry.spherical,PointMap1SImpl.NearToFarIterator,5,177,2,28,2,37,2,18,0,5
Apache Commons Geometry Spherical,org.apache.commons.geometry.spherical,PointMap1SImpl.EntrySet,0,61,1,7,0,11,1,7,0,4
Apache Commons Geometry Spherical,org.apache.commons.geometry.spherical,PointMap1SImpl.MapIterator,0,24,0,0,0,8,0,4,0,4
Apache Commons Geometry Spherical,org.apache.commons.geometry.spherical,PointMap2SImpl,0,38,0,0,0,5,0,4,0,4
Apache Commons Geometry Spherical,org.apache.commons.geometry.spherical,PointMap1SImpl.KeySet,0,26,0,0,0,4,0,4,0,4
Apache Commons Geometry Spherical,org.apache.commons.geometry.spherical,PointMap1SImpl,0,216,0,26,0,54,0,29,0,16
Apache Commons Geometry Spherical,org.apache.commons.geometry.spherical,SphericalCollections,0,22,0,0,0,4,0,4,0,4
Apache Commons Geometry Spherical,org.apache.commons.geometry.spherical,PointMap2SImpl.MapNode2S,13,275,4,35,5,62,4,25,0,9
